dataset,data_percentage,baseline_auroc,enhanced_auroc,baseline_retention,enhanced_retention
BindingDB,10,0.736,0.834,82.14285714285714,89.2933618843683
BindingDB,25,0.781,0.867,87.16517857142857,92.82655246252676
BindingDB,50,0.834,0.902,93.08035714285714,96.57387580299786
BindingDB,100,0.896,0.934,100.0,100.0
DAVIS,10,0.763,0.856,84.03083700440529,90.87048832271762
DAVIS,25,0.789,0.861,86.89427312775331,91.40127388535032
DAVIS,50,0.851,0.918,93.7224669603524,97.45222929936307
DAVIS,100,0.908,0.942,100.0,100.0
BIOSNAP,10,0.751,0.841,83.63028953229399,90.62499999999999
BIOSNAP,25,0.797,0.864,88.75278396436525,93.10344827586206
BIOSNAP,50,0.832,0.901,92.65033407572383,97.0905172413793
BIOSNAP,100,0.898,0.928,100.0,100.0
